case_id,layer,precondition,action,expected_http,expected_business,evidence,actual_result,status,review_notes
AUTH-01,权限,未登录,创建订单,401,不创建订单,响应与订单表,,未执行,
AUTH-02,权限,普通用户,读取他人订单,403,不返回他人数据,响应与审计日志,,未执行,
AUTH-03,权限,管理员,读取授权范围订单,200,返回授权范围数据,响应,,未执行,
IDEM-01,幂等,库存1且已登录,同一幂等键连续提交3次,201→200→200,只创建1单且返回同一order_id,响应+订单表+日志,,未执行,
IDEM-02,幂等,库存2且已登录,不同幂等键提交2次,201→201,按业务规则创建2单,响应+订单表,,未执行,
IDEM-03,幂等,第一次请求超时,使用原幂等键重试,504→200,返回或查询原订单且不重复创建,响应+日志,,未执行,
PAGE-01,分页,稳定数据集,使用游标翻3页,200→200→200,无重复无遗漏,ID清单,,未执行,
PAGE-02,分页,已取第1页,插入新数据后取第2页,200→200,结果符合稳定排序契约,ID清单,,未执行,
PAGE-03,分页,page_size=0,发起请求,400,提示合法范围,响应,,未执行,
PAGE-04,分页,page_size超上限,发起请求,400,按契约拒绝并提示上限,响应,,未执行,
CONFLICT-01,并发,version=3,客户端A更新,200,版本变4,响应+数据,,未执行,
CONFLICT-02,并发,服务端已version=4,客户端B携带version=3更新,409,保留输入并提示合并,页面+响应,,未执行,
STATE-01,状态机,订单pending,执行pay,200,状态变paid,响应+数据,,未执行,
STATE-02,状态机,订单cancelled,执行pay,409,拒绝非法跳转,响应+日志,,未执行,
RATE-01,限流,一分钟已达阈值,继续请求,429,返回Retry-After且不无限重试,响应+客户端日志,,未执行,
RATE-02,限流,收到429,等待Retry-After后重试,429→200,等待后恢复成功,响应+时间线,,未执行,
ERROR-01,异常,非法金额,提交订单,400,提示具体修正方式,页面+响应,,未执行,
ERROR-02,异常,资源不存在,查询订单,404,提供返回路径,页面+响应,,未执行,
ERROR-03,异常,依赖超时,创建订单后查询结果,504→200,不重复创建且可查结果,响应+订单表,,未执行,
ERROR-04,异常,未知错误,创建订单,500,展示request_id与重试路径,页面+响应,,未执行,
